A	{I
ABC	{Ibi:`si:
ACT	{Isi:`ti:
ACTU	{Isi:ti:`j}:
AD	{I`di:
AIDS	{Idz
ALP	{Iel`pi:
AM	{I`em
AMA	{Iem`{I
ATM	{Iti:`em
Adams apple	`{d@mz{p@l
Anzac	`{nz{k
Apr.	`{Ipr\@l
April	`{Ipr\@l
Arabic	`{r\@bIk
Arctic Circle	6:ktIk`s3:k@l
Aug.	`o:g@st
August	`o:g@st
Australian	@st`r\{Ilj@n
Australian Democrats	@str\{Ilj@n`dem@kr\{ts
Australian Labor Party	@str\{Ilj@n`l{Ib@p6:ti:
Ave	`{v@nj}:
a	@
a.m.	{I`em
abandon	@`b{nd@n
abbreviation	@br\i:vi:`{IS@n
abdomen	`{bd@m@n
abide	@`bAed
ability	@`bIl@ti:
ablaze	@`bl{Iz
able	`{Ib@l
abnormal	{b`no:m@l
abnormality	{bno:`m{l@ti:
abolish	@`bOlIS
abominable	@`bOmn@b@l
aborigine	{b@`r\IdZ@ni:
abort	@`bo:t
abortion	@`bo:S@n
about	@`b{Ot
above	@`b6v
abrasion	@`br\{IZ@n
abroad	@`br\o:d
abrupt	@`br\6pt
abscess	`{bses
absent	`{bs@nt
absent-minded	{bs@nt`mAend@d
absolute	`{bs@l}:t
absorb	@b`so:b
abstract	`{bstr\{kt
absurd	@b`s3:d
abuse	@`bj}:z
accelerate	@k`sel@r\{It
accent	`{ksent
accept	@k`sept
access	`{kses
accident	`{ks@d@nt
accommodate	@`kOm@d{It
accompany	@`k6mp@ni:
accomplice	@`k6mpl@s
accord	@`ko:d
accordingly	@`ko:dINli:
account	@`k6{Ont
accountable	@`k{Ont@b@l
accountant	@`k{Ont@nt
accumulate	@`kj}:mj@l{It
accurate	`{kj@r\@t
accuse	@`kj}:z
accustomed	@`k6st@md
ace	{Is
ache	{Ik
achieve	@`tSi:v
acid	`{s@d
acknowledge	@k`nOlIdZ
acne	`{kni:
acoustics	@`k}:stIks
acquaint	@`kw{Int
acquaintance	@`kw{Int@ns
acquire	@`kwAe@
acquit	@`kwIt
acre	`{Ik@
acrobat	`{kr\@b{t
acronym	`{kr\@nIm
across	@`kr\Os
across-the-board	@`kr\OsD@bo:d
acrylic	@`kr\IlIk
act	{kt
action	`{kS@n
activate	`{kt@v{It
active	`{ktIv
activity	{k`tIv@ti:
actor	`{kt@
actual	`{ktS}:@l
actually	`{ktS}:@li:
acupuncture	`{kj@p6NktS@
acute	@`kj}:t
acutely	@`kj}:tli:
ad	{d
adapt	@`d{pt
add	{d
addict	`{dIkt
addicted	@`dIkt@d
addition	@`dIS@n
additive	`{d@tIv
address	@`dr\es
adequate	`{d@kw@t
adhesive	@d`hi:sIv
adjacent	@`dZ{Is@nt
adjective	`{dZ@ktIv
adjourn	@`dZ3:n
adjudicate	@`dZ}:d@k{It
adjust	@`dZ6st
adjustment	@`dZ6stm@nt
admin	`{dmIn
administration	@dmIn@`str\{IS@n
admire	@d`mAe@
admission	@d`mIS@n
admit	@d`mIt
admittance	@d`mIt@ns
adolescence	{d@`les@ns
adopt	@`dOpt
adore	@`do:
adult	`{d6lt
adultery	@`d6lt@r\i:
advance	@d`v{ns
advanced	@d`v{nst
advancement	@d`v{nsm@nt
advantage	@d`v{ntIdZ
adventure	@d`ventS@
adverse	`{dv3:s
adversity	@d`v3:s@ti:
advertise	`{dv@tAez
advertisement	@d`v3:t@sm@nt
advice	@d`vAes
advisable	@d`vAez@b@l
advise	@d`vAez
advocate	`{dv@k{It
aerial	`e:r\i:@l
aerobics	e:`r\@}bIks
aerodrome	`e:r\@dr\@}m
aeroplane	`e:r\@pl{In
aerosol	`e:r\@sOl
affair	@`fe:
affect	@`fekt
affectation	{fek`t{IS@n
affected	@`fekt@d
affection	@`fekS@n
affirm	@`f3:m
affirmative	@`f3:m@tIv
affluent	`{fl}:@nt
afford	@`fo:d
afloat	@`fl@}t
afraid	@`fr\{Id
after	`6:ft@
after-effect	`6:ft@r\@fekt
after-hours	`6:ft@r\{O@z
afterlife	`6:ft@lAef
afternoon	6:ft@`n}:n
aftershave	`6:ft@S{Iv
afterwards	`6:ft@w@dz
again	@`gen
against	@`genst
age	{IdZ
aged	{IdZd
ageing	`{IdZIN
ageism	`{IdZIz@m
agency	`{IdZ@nsi:
agenda	@`dZend@
agent	`{IdZ@nt
aggravate	`{gr\@v{It
aggression	@`gr\eS@n
aggressive	@`gr\esIv
aggro	`{gr\@}
agile	`{dZAel
agitate	`{dZ@t{It
agnostic	{g`nOstIk
ago	@`g@}
agony	`{g@ni:
agree	@`gr\i:
agreement	@`gr\i:m@nt
agriculture	`{gr\@k6ltS@
ahead	@`hed
aid	{Id
aim	{Im
aimless	`{Iml@s
air	e:
air force	`e:fo:s
air raid	`e:r\{Id
air traffic control	e:tr\{fIkk@n`tr\@}l
aircon	`e:kOn
airconditioning	`e:k@ndIS@nIN
aircraft	`e:kr\6:ft
aircraft carrier	`e:kr\6:ft`k{r\i:@
airlift	`e:lIft
airline	`e:lAen
airmail	`e:m{Il
airport	`e:po:t
aisle	Ael
ajar	@`dZ6:
alarm	@`l6:m
alarm clock	@`l6:mklOk
alarmist	@`l6:m@st
album	`{lb@m
alcohol	`{lk@hOl
alcoholic	{lk@hOlIk
ale	{Il
alert	@`l3:t
algebra	`{ldZ@br\@
alias	`{Ili:@s
alibi	`{l@bAe
alien	`{Ili:@n
alienate	`{Ili:@n{It
alight	@`lAet
align	@`lAen
alike	@`lAek
alive	@`lAev
alkali	`{lk@lAe
all	o:l
all right	o:l`r\Aet
allege	@`ledZ
allegiance	@`li:dZ@ns
allegory	`{l@g@r\i:
allergy	`{l@dZi:
alleviate	@`li:vi:{It
alley	`{li:
alliance	@`lAe@ns
allocate	`{l@k{It
allot	@`lOt
allow	@`l{O
allowance	@`l{O@ns
allure	@`l}:@
ally	`{lAe
almighty	o:l`mAeti:
almost	`o:lm@}st
alone	@`l@}n
along	@`lON
aloud	@`l{Od
alphabet	`{lf@bet
alpine	`{lpAen
already	o:l`r\edi:
alright	o:l`r\Aet
also	`o:ls@}
altar	`Olt@
alter	`Olt@
altercation	Olt@`k{IS@n
alternate	Ol`t3:n@t
alternative	Ol`t3:n@tIv
although	o:l`D@}
altitude	`{lt@tj}:d
altogether	o:lt@`geD@
aluminium	{lj@`mIni:@m
always	`o:lw{Iz
am	{m
amalgamate	@`m{lg@m{It
amass	@`m{s
amateur	`{m@t@
amaze	@`m{Iz
ambassador	{m`b{s@d@
amber	`{mb@
ambiguous	{m`bIgj}:@s
ambition	{m`bIS@n
amble	`{mb@l
ambulance	`{mbj@l@ns
ambush	`{mbUS
amenable	@`men@b@l
amend	@`mend
amenity	@`men@ti:
amiable	`{Imi:@b@l
amicable	`{mIk@b@l
ammonia	@`m@}ni:@
ammunition	{mj@`nIS@n
amnesia	{m`ni:Z@
among	@`m6N
amorous	`{m@r\@s
amount	@`m{Ont
ample	`{mp@l
amplify	`{mpl@fAe
amputate	`{mpj@t{It
amputee	{mpj@`ti:
amuse	@`mj}:z
amusement	@`mj}:zm@nt
an	{n
anaemia	@`ni:mi:@
anaesthetic	{n@s`TetIk
anal	`{In@l
analgesic	{n@l`dZi:zIk
analogy	@`n{l@dZi:
analysis	@`n{l@s@s
anarchy	`{n@ki:
anatomy	@`n{t@mi:
ancestor	`{nsest@
anchor	`{Nk@
anchorage	`{Nk@r\IdZ
ancient	`{InS@nt
and	{nd
anecdote	`{n@kd@}t
angel	`{IndZ@l
anger	`{Ng@
angle	`{Ng@l
angry	`{Ngr\i:
anguish	`{NgwIS
animal	`{n@m@l
animated	`{n@m{It@d
animosity	{n@`mOs@ti:
ankle	`{Nk@l
annex	`{neks
annexe	`{neks
annihilate	@`nAe@l{It
anniversary	{n@`v3:s@r\i:
announce	@`n{Ons
annoy	@`noI
annual	`{nj}:@l
anonymous	@`nOn@m@s
another	@`n6D@
answer	`{ns@
