V	vi:
VCR	vi:si:`6:
VDU	vi:di:`j}:
VIP	vi:Ae`pi:
Vic.	vIk`to:r\i:@
Vietnamese	vi:etn@`mi:z
v	`v3:s@z
vacancy	`v{Ik@nsi:
vacant	`v{Ik@nt
vacation	v{I`k{IS@n
vaccine	`v{ksi:n
vacuum	`v{kj}:m
vagina	v@`dZAen@
vague	v{Ig
vain	v{In
valid	`v{l@d
valley	`v{li:
valuable	`v{lj@b@l
value	`v{lj}:
valve	v{lv
van	v{n
vandal	`v{nd@l
vanilla	v@`nIl@
vanish	`v{nIS
vanity	`v{n@ti:
vapour	`v{Ip@
variety	v@`r\Ae@ti:
various	`ve:r\i:@s
varnish	`v6:nIS
vary	`ve:r\i:
vase	v6:z
vast	v6:st
vat	v{t
veal	vi:l
vegan	`vi:g@n
vegetable	`vedZt@b@l
vegetarian	vedZ@`te:r\i:@n
vegetation	vedZ@`t{IS@n
vegie	`vedZi:
vehement	`vi:@m@nt
vehicle	`vI@k@l
veil	v{Il
vein	v{In
velvet	`velv@t
veneer	v@`nI@
venereal disease	v@`nI@r\i:@ld@zi:z
vengeance	`vendZ@ns
venom	`ven@m
ventilate	`vent@l{It
venture	`ventS@
venue	`venj}:
veranda	v@`r\{nd@
verb	v3:b
verbal	`v3:b@l
verdict	`v3:dIkt
verify	`ver\@fAe
versatile	`v3:s@tAel
verse	v3:s
version	`v3:Z@n
versus	`v3:s@z
vertebra	`v3:t@br\@
vertical	`v3:tIk@l
very	`ver\i:
vessel	`ves@l
vet	vet
veto	`vi:t@}
vex	veks
via	`vAe@
vibrate	vAe`br\{It
vice	vAes
vice versa	vAes`v3:s@
vicinity	v@`sIn@ti:
vicious	`vIS@s
victim	`vIkt@m
victimise	`vIkt@mAez
victory	`vIktr\i:
video	`vIdi:@}
videotape	`vIdi:@}t{Ip
view	vj}:
viewer	`vj}:@
vigorous	`vIg@r\@s
vile	vAel
village	`vIlIdZ
villain	`vIl@n
vindictive	vIn`dIktIv
vine	vAen
vinegar	`vInIg@
vineyard	`vInj@d
vintage	`vIntIdZ
vinyl	`vAen@l
violent	`vAe@l@nt
violin	vAe@`lIn
virgin	`v3:dZ@n
virile	`vIr\Ael
virtue	`v3:tS}:
virulent	`vIr\@l@nt
virus	`vAer\@s
visa	`vi:z@
visible	`vIz@b@l
vision	`vIZ@n
visit	`vIz@t
visual	`vIZ}:@l
visual display unit	vIZ}:@ld@`spl{Ij}:n@t
visualise	`vIZj@lAez
vital	`vAet@l
vitality	vAe`t{l@ti:
vitamin	`vAet@m@n
vivacious	v@`v{IS@s
vivid	`vIv@d
vocabulary	v@`k{bj@l@r\i:
vocal	`v@}k@l
vocalist	`v@}k@l@st
vogue	v@}g
voice	voIs
void	voId
volcano	vOl`k{In@}
volley	`vOli:
volleyball	`vOli:bo:l
volume	`vOlj}:m
voluntary	`vOl@ntr\i:
volunteer	vOl@n`tI@
vomit	`vOm@t
vote	v@}t
voucher	`v{OtS@
vow	v{O
vowel	`v{O@l
voyage	`voIIdZ
vs	`v3:s@z
vulgar	`v6lg@
vulnerable	`v6lnr\@b@l
